pharmacie_id,osm_id,name,address,postcode,lat,lon,type_garde,is_garde,open_time,close_time
61,node/8812272864,Pharmacie Anas صيدلية أنس,78 Avenue El Hoceima,90000.0,35.751932,-5.8318449,normal,0,08:30,20:00
62,node/8812391021,Pharmacie Chems Ahlan صيدلية شمس أهلا,Rue Al Fidae,90000.0,35.7423713,-5.8384262,normal,0,08:30,20:00
63,node/8812421496,Grande Pharmacie Assia صيدلية اسيا الكبرى,Boulevard Royaume d'Arabie Saoudite,90000.0,35.7444463,-5.8328432,garde_nuit,1,20:00,08:30
64,node/8812469308,Pharmacie Taferssiti صيدلية تافرسيتي,Avenue Al Afw,90000.0,35.7414332,-5.8336189,normal,0,08:30,20:00
65,node/8812951614,Pharmacie Annasr صيدلية النصر,Avenue Martil,90000.0,35.7504079,-5.8295296,normal,0,08:30,20:00
66,node/8812993151,Pharmacie Ahlan صيدلية أهلا,Boulevard Royaume d'Arabie Saoudite,90022.0,35.7475809,-5.8404456,normal,0,08:30,20:00
67,node/8813009404,Pharmacie Erradi صيدلية الراضي,Avenue Nigeria,90000.0,35.7486334,-5.8376615,garde_nuit,1,20:00,08:30
68,node/8814684096,Pharmacie Hay Ouarda صيدلية حي الوردة,Avenue Moulay Ali Cherif,90000.0,35.7538142,-5.818627,normal,0,08:30,20:00
69,node/8814699761,Pharmacie Madrid صيدلية مدريد,Rue Iran زنقة إيران,90000.0,35.7527334,-5.8220466,normal,0,08:30,20:00
70,node/8814761689,Pharmacie Ghailane صيدلية غيلان,41 Rue Malaisie,90000.0,35.7516884,-5.8184929,garde_24h,1,00:00,23:59
71,node/8815036421,Pharmacie Al Jamae صيدلية الجامع,Boulevard Royaume d'Arabie Saoudite,90000.0,35.7432827,-5.82036,normal,0,08:30,20:00
72,node/8817736187,Pharmacie Bir Chifae صيدلية بير الشفاء,Boulevard Royaume d'Arabie Saoudite,90000.0,35.7428183,-5.8259495,garde_24h,1,00:00,23:59
73,node/8817949327,Pharmacie Andalucia صيدلية الأندلسية,Rue 1 زنقة,90000.0,35.7312268,-5.8070085,garde_nuit,1,20:00,08:30
74,node/8818883564,Pharmacie Tanmia صيدلية التنمية,Route de Tétouan,90000.0,35.7374112,-5.7657254,normal,0,08:30,20:00
75,node/8818900253,Pharmacie Jihane صيدلية جيهان,Route de Tétouan,90000.0,35.7418848,-5.7754502,normal,0,08:30,20:00
76,node/8818917918,Pharmacie M'Ghogha صيدلية مغوغة,Route de Tétouan,90000.0,35.7436011,-5.7780437,garde_nuit,1,20:00,08:30
77,node/8821512586,Pharmacie Zone Industrielle صيدلية الحي الصناعي,Route de Tétouan,90000.0,35.7456342,-5.7826468,garde_nuit,1,20:00,08:30
78,node/8821966651,Pharmacie Ben Ayad صيدلية بن عياد,Rue Plage Kaa Asrass,90000.0,35.7704222,-5.7719122,normal,0,08:30,20:00
79,node/8821980831,Pharmacie Perle de Méditerranée صيدلية لؤلؤة المتوسط,Rue Plage Ain Addaib,90000.0,35.7673647,-5.7610958,normal,0,08:30,20:00
80,node/8822009723,Pharmacie Meftah El Khair صيدلية مفتاح الخير,Rue Plage Akwasse Briech,90000.0,35.7679104,-5.7733356,normal,0,08:30,20:00
81,node/8822017841,صيدلية البحر الابيض المتوسط,Rue Plage Oualidia,90000.0,35.7691537,-5.7674069,normal,0,08:30,20:00
82,node/8824569028,Pharmacie El Alia صيدلية العالية,37 Rue Ibn Al Kadi زنقة ابن القاضي,90000.0,35.7636391,-5.794075,normal,0,08:30,20:00
83,node/8825161696,Pharmacie Saada صيدلية السعادة,3 Route de Tétouan,90000.0,35.7632332,-5.7958386,normal,0,08:30,20:00
84,node/8825173122,Pharmacie Charf صيدلية شرف,Avenue Yacoub El Mansour,90000.0,35.7664721,-5.7940716,normal,0,08:30,20:00
85,node/8825181780,Pharmacie Jardins Andalous صيدلية حدائق الأندلس,Avenue Mohammed VI شارع محمد السادس,90000.0,35.774374,-5.7843316,garde_24h,1,00:00,23:59
86,node/8825407656,Pharmacie Laaziza صيدلية العزيزة,Rue Moulay Hicham,90000.0,35.772023,-5.7951018,normal,0,08:30,20:00
87,node/8825642480,Pharmacie Al Andalous صيدلية الأندلس,118 Boulevard Mohamed V شارع محمد الخامس,90000.0,35.7757811,-5.8015618,normal,0,08:30,20:00
88,node/8825782900,Pharmacie Moulay Youssef صيدلية مولاي يوسف,Boulevard Moulay Youssef,90000.0,35.7700159,-5.8057085,normal,0,08:30,20:00
89,node/8825811268,Pharmacie Phardet صيدلية فارضت,147 Boulevard de Fés,90000.0,35.7705717,-5.8141986,normal,0,08:30,20:00
