code,nom,dci,forme,dosage
6118001200320,TRIGYNON,LEVONORGESTREL / ETHINYLESTRADIOL,COMPRIME ENROBE,0.05 / 0.03 MG / MG
6118001140831,MENCEVAX AC,VACCIN ANTIMENINGOCOCCIQUE A ET C,PREPARATION INJECTABLE,nan nan
6118000310297,TENOCAN,ATENOLOL,COMPRIME,100 MG
6118000011613,THEOSTAT LP,THEOPHYLLINE,COMPRIME SECABLE LP,100 MG
6118000130086,DICLOMAX,DICLOFENAC,GELULE LP,75 MG
6118000071143,DIPICOR,AMLODIPINE,COMPRIME,10 MG
6118000290100,HYZAAR,LOSARTAN / HYDROCHLOROTHIAZIDE,COMPRIME ENROBE,50 / 12.5 MG / MG
6118010023415,ALFAPROXINE,CIPROFLOXACINE,COMPRIME PELLICULE,500 MG
6118001150113,CLARINASE REBETABS,LORATADINE / PSEUDOEPHEDRINE,COMPRIME ENROBE LM,60 / 5 MG / MG
6118001140862,MIVACRON,MIVACURIUM,SOLUTION INJECTABLE,20 MG
6118000120520,URBANYL,CLOBAZAM,COMPRIME SECABLE,10 MG
6118000310501,NEOCLAV 100MG/12.5MG/ML ENFANT,AMOXICILLINE / ACIDE CLAVULANIQUE,POUDRE POUR SUSPENSION BUVABLE,100 / 12.5 MG / MG
6118001181773,NAVELBINE,VINORELBINE,SOLUTION INJECTABLE,10 MG
6118001182152,SAVARINE,PROGUANIL / CHLOROQUINE,COMPRIME PELLICULE,200 / 100 MG / MG
6118001070565,TETRALYSAL,LYMECYCLINE,GELULE,150 MG
6118001090228,LEVITRA,VARDENAFIL,COMPRIME PELLICULE,20 MG
6118010017292,BUSCOPAN,N-BUTYL HYOSCINE,SOLUTION INJECTABLE,20 MG
6118000160441,CLAMOXYL,AMOXICILLINE,COMPRIME DISPERSIBLE,500 MG
6118001120116,CALCIUM ALKO,CALCIUM,SOLUTION INJECTABLE,0.87 %
6118000190080,AZ,AZITHROMYCINE,GELULE,250 MG
6118001140176,BACTROBAN,MUPIROCINE,POMMADE,2 %
6118000280392,SPIBAC 3 MUI,SPIRAMYCINE,COMPRIME PELLICULE,3 MUI
6118000060260,ROVAMYCINE,SPIRAMYCINE,COMPRIME PELLICULE,3 MUI
6118000240693,RANIMAT,RANITIDINE,COMPRIME,300 MG
